canonical,name,uei,recipient_id,code,amount_fy,ticker
LOCKHEED MARTIN,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,6cf5fb1b-4988-d087-5dc1-70939d8fc6c4-C,008016958,41328585719.06,LMT
BOEING,THE BOEING COMPANY,JJM4FRDZJDX1,9ab85632-42cc-5fa4-2a9c-d734034ddd33-C,149879157,20827192284.11,BA
RAYTHEON,RAYTHEON COMPANY,VTEWM5QSE598,01c4a3a3-b4c5-ce4e-822b-d17f09985001-C,794598573,14044105504.72,RTX
NORTHROP GRUMMAN,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,a039e3c2-edcd-2b9b-4459-dcde55990ab4-C,117554355,12651609714.33,NOC
LEIDOS,"LEIDOS, INC.",UE9QJD4KK1L6,5ddb264f-234b-872c-2571-4731fde123c6-C,833063105,5777034784.99,LDOS
BOOZ ALLEN HAMILTON,BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,ffca72e5-fba2-798a-6969-2a6c45e9f985-C,006928857,5121950360.36,BAH
SIKORSKY AIRCRAFT,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,d64537c9-5482-dd40-cdd4-5cf07b66329d-C,835551474,4772974915.40,LMT
GENERAL DYNAMICS,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,455555be-773d-eab1-1e6b-7b94400b757e-C,067641597,4765618030.55,GD
L3HARRIS,L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,RDFKNPZNQ8E3,9a8e6a0a-4913-b84b-e426-8fdaeb54a427-C,007365984,4567394383.34,LHX
RTX,RTX CORPORATION,QN1BCFY7JDJ5,62e141b3-4887-5b39-6b75-eace9326395c-C,001447952,4390090754.87,RTX
FLUOR,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,27de0316-220e-8297-411f-f99b6f60443a-C,081071051,3596586336.66,FLR
SCIENCE APPLICATIONS,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,20af0683-f17d-1f8f-38ee-2f11bd124559-C,078883327,3451099412.67,SAIC
LAWRENCE LIVERMORE NATIONAL SECURITY,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",PM52LCJH72T9,6d990129-9566-ff86-e9ae-7c6eeef1df7c-C,785627931,3166514253.56,
ACCENTURE,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,d41a6b8a-9d6a-0d28-7e24-989e31731aad-C,139727148,3021448164.64,ACN
DELOITTE CONSULTING,DELOITTE CONSULTING LLP,CKV2L9GZKJK3,92663aec-4451-0476-502b-d8c6919e98e0-C,019121586,2675146888.76,
CACI,"CACI, INC. - FEDERAL",N3PBJAVNKF61,28eee911-76af-7147-f760-4ec5f90bec2d-C,114896066,2656091679.55,CACI
GENERAL ELECTRIC,GENERAL ELECTRIC COMPANY,E3HYKKLT5ZT1,66092799-9c72-fde6-e008-9d381191aed2-C,001408509,2583415206.71,GE
GENERAL ATOMICS,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",ZH4NVFG3Z526,e262465b-a9eb-8206-020a-98327ae917fa-C,824684229,2458188223.14,
CALIFORNIA INSTITUTE OF TECHNOLOGY,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,6e76fa33-2d96-c636-941c-bca1997db076-C,095633152,2227558074.68,
PERATON,PERATON INC.,ZBPQEJVECCT4,129fccb1-783c-9fd1-7b6d-6ddea65ace79-C,602938771,2209957329.85,
BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,CWKJEXDG79A7,74457bb7-b18d-9762-896e-e575e7a4ed82-C,032987476,1943604574.77,
ADVANCED TECHNOLOGY,ADVANCED TECHNOLOGY INTERNATIONAL,LDMMF472BB93,2308f9b4-daa6-7448-2621-356e83baa206-C,025172953,1898887672.13,
JOHNS HOPKINS UNIVERSITY,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,C1HBCJ9RMBV3,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,040549461,1697111191.27,
DEPLOYED RESOURCES,DEPLOYED RESOURCES LLC,GFTGQRJ8F959,c7182f2d-51c0-8f51-d5cc-02630b0a90c2-C,013811976,1580075544.12,
SPACE EXPLORATION,SPACE EXPLORATION TECHNOLOGIES CORP.,C6M7C2FLKER5,8a3a5525-3218-a488-db0e-4823241ceb90-C,120406462,1501332275.97,
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,SN5KKUDR9LY8,00129762-bb69-300b-a2fb-ff1b071b1e42-C,001424985,1460909736.87,
BAE INFORMATION AND ELECTRONIC INTEGRATION,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,F9AVUZ8YBGQ6,cdc6b956-a9c8-8548-7902-4512c9ccb343-C,005149120,1440273468.92,BAESY
REGENTS OF THE UNIVERSITY OF CALIFORNIA,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,PKK5TD16N4H1,9df6f273-648d-cf72-c4ef-346f414c585c-C,003985512,1419507197.19,
AEROSPACE,THE AEROSPACE CORPORATION,YA8LJBJCND19,6cbea0a9-b56a-1fd8-3dee-e808ea373a4b-C,009553637,1334760380.68,
MITRE,THE MITRE CORPORATION,DMHDNDCPWUD1,3903ae3c-2661-60bb-cdd3-1f26ad214167-C,040540304,1240732081.26,
MANTECH,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",JY2BDT2K58Z6,ceac1920-9ceb-17a6-9bf7-026817a02917-C,139627525,1207628903.46,
CHEMONICS,"CHEMONICS INTERNATIONAL, INC.",DSUSFJFR9A33,71710641-1c0a-d4c7-a593-1c039ee88fa2-C,867714768,1199292873.78,
RAYTHEON/LOCKHEED MARTIN JAVELIN JV,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,WGB7GAKM7A68,2acfbd75-26c2-0328-d37e-27e90dcef4db-C,606777241,1195448730.87,
BELL TEXTRON,BELL TEXTRON INC,N5QUZAYGPKM3,9f062daf-f500-7d41-53d7-5248be76b69f-C,062923321,1188255202.50,TXT
KBR,"KBR WYLE SERVICES, LLC",L693MQDFLKD1,a0a87c1c-b46f-7c1f-9eb0-a389f77904a8-C,049045933,1174345574.37,KBR
ALLIANCE FOR ENERGY INNOVATION,"ALLIANCE FOR ENERGY INNOVATION, LLC",DVGLNXBURMP3,b5d8d22f-d83a-3e58-af13-5381d3c31019-C,805948051,1167681746.06,
UCHICAGO ARGONNE,"UCHICAGO ARGONNE, LLC",JA8EP8EKX8Y9,41abc24e-d794-7e40-35af-944b40645d57-C,624449968,1165048541.04,
AMENTUM,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,fe5366b4-84c8-12ff-126f-f123de29819c-C,961530545,1160147884.36,AMTM
ROCKWELL COLLINS,"ROCKWELL COLLINS, INC.",J4Q3HP6NHK47,fbaf2f7a-d2a8-a4b8-2388-3abc483658a7-C,060605883,1111118257.41,RTX
CGI,CGI FEDERAL INC.,TRKEP1HEBNS5,d86df7af-f6c1-a07a-ccc4-ec74331bafc5-C,145969783,1044627568.70,GIB
SIERRA NEVADA,"SIERRA NEVADA COMPANY, LLC",N1PWVLN6F4U1,fbd9af5f-b33e-9331-9063-295f6910ddf1-C,800945581,1022292095.63,
FCN,"FCN, INC.",JEANDJTZ8HJ3,3792ca7f-d5d2-d89c-872b-8c64e4e6390e-C,615378007,994122482.18,
L3,"L3 TECHNOLOGIES, INC.",FRJQGQHDX4J3,b09dcd04-a8c9-ee78-bf74-30e428504408-C,008983355,964170129.65,LHX
GUIDEHOUSE,GUIDEHOUSE INC.,N9NJK877QJK9,a0cb5664-8703-c7dc-a188-4a96f90a16c9-C,022582428,899754451.25,
ORACLE,"ORACLE HEALTH GOVERNMENT SERVICES, INC.",DT2KS3HH5FP5,9232b26d-789d-bdd2-5a6d-28714f1dfa2c-C,080898173,893430462.61,ORCL
FOUR POINTS TECHNOLOGY,"FOUR POINTS TECHNOLOGY, L.L.C.",H1KHJPJH9R51,2a4d3db7-e268-7b36-3610-c75337f0b7e1-C,089896737,866754495.29,
BELL BOEING JOINT PROJECT OFFICE,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,846d3ff4-b2cb-3924-018c-2dee1e0259b7-C,106632750,848371120.64,BA
HII,HII MISSION TECHNOLOGIES CORP,GS7HBMNZEMK3,09209b6d-af2a-79f6-ec11-b314812e454b-C,963450866,844527122.61,HII
ROLLS-ROYCE,ROLLS-ROYCE CORPORATION,KHK8QYLFGLU1,ae61fda0-8744-9361-a177-0ffcabb70c2e-C,804754141,836793810.87,RYCEY
BROOKHAVEN SCIENCE ASSOCIATES,BROOKHAVEN SCIENCE ASSOCIATES LLC,R85KZ9JP3NM3,a5024890-88ca-4c65-a382-b8beefb2111d-C,027579460,797151615.00,
BUSINESS MACHINES,INTERNATIONAL BUSINESS MACHINES CORPORATION,VV9KH3L99VE3,6ffc4386-853e-ef89-67e8-22c28ddcf15c-C,835130485,782964934.46,IBM
PARSONS,PARSONS GOVERNMENT SERVICES INC.,NMBCAG1JBKL7,cb0d434a-9ad7-93b5-09dc-6067d8c45d71-C,006908511,781685690.41,PSN
THUNDERCAT TECHNOLOGY,"THUNDERCAT TECHNOLOGY, LLC",UER4AJLUB8D5,dbceb126-f729-60e7-d55a-ba235f519653-C,809887164,770038732.25,
FERMI RESEARCH ALLIANCE,"FERMI RESEARCH ALLIANCE, LLC",E1EUJL3KLKX5,fe39e268-ac10-da9a-1cda-9005f239d33a-C,626399831,766164573.38,
LELAND STANFORD JUNIOR UNIVERSITY,THE LELAND STANFORD JUNIOR UNIVERSITY,HJD6G4D6TJY5,0c13d643-4334-38ed-1952-0db7e2ac5e56-C,009214214,725817825.19,
MINBURN TECHNOLOGY,"MINBURN TECHNOLOGY GROUP, LLC",WN8JFVZTBCA5,625ff1da-e9a2-cbdc-c8b3-fdd521fd1efc-C,965431815,698956473.62,
HONEYWELL,HONEYWELL INTERNATIONAL INC.,KBL6XLDCXKG8,360760cb-a2ed-6aa4-2d81-a7909557d12c-C,009000050,698584479.55,HON
ANDURIL,"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,1869c03a-77bb-b66c-469b-988719bbec4c-C,080788349,644547749.92,
V3GATE,"V3GATE, LLC",J4KHM5JY79E3,d46ad2a7-ed19-9535-4f24-787705845610-C,808862598,633793169.13,
FORD MOTOR,FORD MOTOR CO,QD3MLADL7366,4a8a3973-3640-6b1b-95a5-c93d26884389-C,080241867,580261245.29,F
DEFENSE AND,DEFENSE SYSTEMS AND SOLUTIONS,NWKQVQED4C81,34029cc2-a3ce-6e12-3143-ed585c513530-C,080602723,546020374.09,
TORCH,TORCH TECHNOLOGIES INC,YA63J5PVEZE6,4185d6ab-6726-b8f6-b5f8-8d839ccb063c-C,122515708,526210177.55,
BAE INFORMATION ELECTRONIC INTEGRATION,BAE SYSTEMS INFORMATION & ELECTRONIC SYSTEMS INTEGRATION INC,LL86LYMYHK36,b3f30bd6-735c-4e80-496e-ca69d0c1851c-C,007181493,511643879.95,BAESY
LIBERTY IT,LIBERTY IT SOLUTIONS LLC,GLGMWJ8EVMR9,2d9a559d-25cf-52c9-ab77-545026f70977-C,965605293,510650029.85,
AEROJET ROCKETDYNE,"AEROJET ROCKETDYNE OF DE, INC",JCZYYYQ7JGF5,f87ea7aa-b645-2932-36c2-e89cb4e9a016-C,196094283,506210293.23,LMT
TEXTRON,TEXTRON AVIATION INC,LH8RF2CKLWK5,e91d8566-9d98-0b52-e41f-3afaebeaa161-C,079880866,503461595.83,TXT
BLUE ORIGIN,"BLUE ORIGIN WASHINGTON, LLC",SH2ER4W6LH13,0347a12c-6b74-43ee-1e94-4986e09d6a5e-C,618309723,484344306.00,
SALIENT CRGT,"SALIENT CRGT, INC.",Q5LJNF15T2R5,fd25b722-602d-ec58-3a7a-d6555b8d8ea7-C,849550983,480880029.69,
IRON BOW,"IRON BOW TECHNOLOGIES, LLC",Q2M4FYALZJ89,132f5878-a9b2-eeda-115a-041797eaf981-C,827714507,474627292.22,
SERCO,SERCO INC,DKJ1R5ABCN48,89bcff2a-2813-19f6-92a5-47dd33313207-C,928859149,473684210.93,
MICROSOFT,MICROSOFT CORPORATION,FMVPEWNJGLM1,dd77b7c3-663e-cb91-229f-5766a50e9b7f-C,081466849,468115135.21,MSFT
NEW TECH,"NEW TECH SOLUTIONS, INC.",XK11LLUL61A7,e0f8746a-9a3b-810a-257a-cae2d63868da-C,020149303,457638549.66,
GEORGIA TECH APPLIED RESEARCH,GEORGIA TECH APPLIED RESEARCH CORP,L3G5SBQ2PLK5,36ac2fcd-7f60-603d-ffe7-a3101dd0bc95-C,364124651,453720034.17,
CAE,CAE USA INC.,HVQBAL5E7R23,9e67b08e-3216-1899-37a1-aec1a547f83f-C,130788826,450654034.21,
BAE TECHNOLOGY,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,LX3BSV6NNW58,2e141abe-fe8f-7ddc-e6a3-8bb2165836be-C,103933453,447287323.17,
ICF,"ICF INCORPORATED, L.L.C.",QHBLBNKKV4U3,f7268051-dfb6-e5cf-ab3d-11235ea4137f-C,072648579,407324132.94,ICFI
